circRNA			linear_1			linear_2
chr14:55612018-55619312:+	chr14:55601881-55612018	chr14:55619313-55627911
chr6:79042842-79060818:-	chr6:79032776-79042842	chr6:79060819-79077447
chr1:88770351-88771879:+	chr1:88768939-88770351	chr1:88771880-88784638
chr12:28225794-28259442:+	chr12:28190642-28225794	chr12:28259443-28305648
chr8:99274197-99275254:+	chr8:99193058-99274197	chr8:99275255-99384207
chr5:62550366-62561257:+	chr5:62537290-62550366	chr5:62561258-62591576
chr1:35381258-35389082:+	chr1:35370628-35381258	chr1:35389083-35389947
chr9:72223119-72231181:+	chr9:72219507-72223119	chr9:72231182-72241151
chr10:1084402-1096246:+	chr10:1080477-1084402	chr10:1096247-1103601
chr2:174123179-174142000:-	chr2:174082065-174123179	chr2:174142001-174223032
chr2:210556718-210582709:+	chr2:210545399-210556718	chr2:210582710-210590799
chr4:147857552-147881932:+	chr4:147854843-147857552	chr4:147881933-147906637
chr9:33971650-33973237:-	chr9:33963792-33971650	chr9:33973238-33986759
chr1:155675009-155679512:-	chr1:155674823-155675009	chr1:155679513-155777621
chr9:112268048-112297916:-	chr9:112262600-112268048	chr9:112297917-112333469
chr11:94445809-94447438:-	chr11:94437236-94445809	chr11:94447439-94459407
chr17:40406383-40406942:-	chr17:40404884-40406383	chr17:40406943-40407548
chr5:43161248-43161931:+	chr5:43139310-43161248	chr5:43161932-43173317
chr6:83398366-83407901:-	chr6:83352140-83398366	chr6:83407902-83430876
chr6:136694139-136698682:-	chr6:136669396-136694139	chr6:136698683-136705109
chr7:148846469-148847305:-	chr7:148837001-148846469	chr7:148847306-148884163
chr10:49493116-49506012:-	chr10:49483517-49493116	chr10:49506013-49524032
chr1:160323430-160332557:-	chr1:160314126-160323430	chr1:160332558-160333602
chr1:180397515-180430262:-	chr1:180314723-180397515	chr1:180430263-180492268
chr13:106557047-106559657:-	chr13:106544161-106557047	chr13:106559658-106567572
chr12:827041-830160:+	chr12:813815-827041	chr12:830161-857160
chr5:38990948-39021136:-	chr5:38982037-38990948	chr5:39021137-39074110
chr11:46493607-46512813:-	chr11:46443599-46493607	chr11:46512814-46541944
chr18:12366964-12371691:-	chr18:12363857-12366964	chr18:12371692-12376968
chr8:123359220-123361646:-	chr8:123357737-123359220	chr8:123361647-123369073
chr20:41533049-41551360:-	chr20:41514953-41533049	chr20:41551361-41618339
chr16:69370482-69372355:-	chr16:69368596-69370482	chr16:69372356-69384579
chr12:46229152-46254936:-	chr12:46209128-46229152	chr12:46254937-46268864
chr2:61522610-61533903:-	chr2:61502311-61522610	chr2:61533904-61537561
chr9:5968018-5988545:-	chr9:5954096-5968018	chr9:5988546-6007194
chr1:65364634-65366196:+	chr1:65345724-65364634	chr1:65366197-65379401
chr9:93471140-93476338:+	chr9:93470431-93471140	chr9:93476339-93497470
chrX:131743095-131794466:-	chrX:131722365-131743095	chrX:131794467-131825221
chr8:123077110-123105464:+	chr8:123073432-123077110	chr8:123105465-123109316
chr12:27714779-27724186:+	chr12:27710956-27714779	chr12:27724187-27737538
chr3:125313307-125331238:-	chr3:125288229-125313307	chr3:125331239-125375101
chr2:61485767-61490776:-	chr2:61484106-61485767	chr2:61490777-61492034
chrX:101126708-101148161:+	chrX:101120785-101126708	chrX:101148162-101162832
chr3:126621741-126647296:-	chr3:126615463-126621741	chr3:126647297-126654747
chr5:79439009-79457018:-	chr5:79402056-79439009	chr5:79457019-79512769
chr1:70292387-70306290:-	chr1:70276845-70292387	chr1:70306291-70315480
chr9:21476898-21477292:-	chr9:21455945-21476898	chr9:21477293-21559488
chr20:62857394-62859526:-	chr20:62856250-62857394	chr20:62859527-62860124
chr18:76849525-76851939:+	chr18:76824407-76849525	chr18:76851940-76868684
chr8:51860844-51861246:-	chr8:51845764-51860844	chr8:51861247-51898929
chr1:41113282-41117010:-	chr1:41075452-41113282	chr1:41117011-41142877
chr8:98706466-98749390:-	chr8:98638561-98706466	chr8:98749391-98767242
chr2:43973606-43982434:-	chr2:43963707-43973606	chr2:43982435-43996139
chr5:94628810-94630743:+	chr5:94618766-94628810	chr5:94630744-94651701
chr1:77801330-77815231:+	chr1:77783352-77801330	chr1:77815232-77843306
chr10:68459103-68470163:-	chr10:68457633-68459103	chr10:68470164-68487143
chr8:127140743-127149672:-	chr8:127140450-127140743	chr8:127149673-127187784
chr1:42278347-42323827:-	chr1:42265190-42278347	chr1:42323828-42335058
chr7:152309965-152315338:-	chr7:152273868-152309965	chr7:152315339-152330600
chr1:35358924-35361789:+	chr1:35325406-35358924	chr1:35361790-35370028
chr2:99462495-99464985:-	chr2:99451502-99462495	chr2:99464986-99489816
chr1:180803387-180811488:+	chr1:180787855-180803387	chr1:180811489-180824752
chr12:100282942-100298175:+	chr12:100267819-100282942	chr12:100298176-100311043
chr15:58912562-58913696:-	chr15:58901288-58912562	chr15:58913697-58916934
chr1:95143890-95151419:+	chr1:95117618-95143890	chr1:95151420-95173815
chr14:34586229-34609742:-	chr14:34581601-34586229	chr14:34609743-34629906
chr7:24623662-24650712:+	chr7:24620221-24623662	chr7:24650713-24663589
chr20:32366383-32371874:+	chr20:32359335-32366383	chr20:32371875-32428127
chr21:37108391-37152029:+	chr21:37099749-37108391	chr21:37152030-37152950
chr7:129014978-129018157:-	chr7:129005160-129014978	chr7:129018158-129054650
chr14:80831142-80840768:-	chr14:80793111-80831142	chr14:80840769-80862756
chr12:111552279-111555919:-	chr12:111525317-111552279	chr12:111555920-111598783
chr1:75745805-75750546:+	chr1:75740111-75745805	chr1:75750547-75761121
chr9:93515666-93516269:+	chr9:93498887-93515666	chr9:93516270-93527154
chr17:59731420-59817773:+	chr17:59707749-59731420	chr17:59817774-59838294
chr9:37424844-37426654:+	chr9:37422834-37424844	chr9:37426655-37428483
chr2:61178980-61186497:+	chr2:61178639-61178980	chr2:61186498-61186616
chr2:58221941-58232112:-	chr2:58204227-58221941	chr2:58232113-58241217
chr1:66958058-66963160:+	chr1:66946296-66958058	chr1:66963161-66970807
chr14:96833466-96856586:+	chr14:96832611-96833466	chr14:96856587-96860646
chr19:34430575-34434968:+	chr19:34430187-34430575	chr19:34434969-34438644
chr8:127218809-127218966:-	chr8:127209718-127218809	chr8:127218967-127223537
chr19:46918487-46937408:+	chr19:46872550-46918487	chr19:46937409-46987988
chr4:3086938-3107423:+	chr4:3075089-3086938	chr4:3107424-3115303
chr12:50427761-50441643:+	chr12:50420888-50427761	chr12:50441644-50454313
chr2:72718102-72733118:-	chr2:72575669-72718102	chr2:72733119-72741303
chr18:24080584-24083081:+	chr18:24069272-24080584	chr18:24083082-24114553
chr8:140846259-140890769:-	chr8:140830527-140846259	chr8:140890770-141001124
chr1:117460488-117502970:+	chr1:117456245-117460488	chr1:117502971-117522824
chr3:149846010-149912083:+	chr3:149814027-149846010	chr3:149912084-149921133
chr4:105424195-105456745:-	chr4:105399165-105424195	chr4:105456746-105473893
chr1:117402185-117405645:+	chr1:117397022-117402185	chr1:117405646-117414712
chr3:149846010-149902162:+	chr3:149814027-149846010	chr3:149902163-149921133
chr9:6420911-6434173:+	chr9:6413644-6420911	chr9:6434174-6460572
chr15:49235850-49292537:+	chr15:49225350-49235850	chr15:49292538-49319603
chr13:95970111-95999307:-	chr13:95949455-95970111	chr13:95999308-96013306
chr11:34970138-34984728:+	chr11:34966815-34970138	chr11:34984729-34994913
chr17:31155982-31182665:+	chr17:31095370-31155982	chr17:31182666-31200421
chr9:33953284-33963791:-	chr9:33948588-33953284	chr9:33963792-33986759
chr12:42210354-42210680:-	chr12:42199236-42210354	chr12:42210681-42237598
chr11:32927156-32935435:+	chr11:32893335-32927156	chr11:32935436-32953856
chr1:26942659-26943065:+	chr1:26941819-26942659	chr1:26943066-26945389
chr17:7945727-7945986:+	chr17:7944639-7945727	chr17:7945987-7947570
chr5:65988634-65994864:+	chr5:65926807-65988634	chr5:65994865-66012048
chr2:176296859-176328912:+	chr2:176270420-176296859	chr2:176328913-176329300
chr8:47396375-47407961:+	chr8:47395022-47396375	chr8:47407962-47440322
chr11:85981128-86031611:-	chr11:85978094-85981128	chr11:86031612-86069719
chr12:28255580-28307749:+	chr12:28226200-28255580	chr12:28307750-28362437
chr1:117402185-117420649:+	chr1:117397022-117402185	chr1:117420650-117442230
chr2:224535527-224557856:-	chr2:224529115-224535527	chr2:224557857-224584943
chr8:127218809-127223666:-	chr8:127209718-127218809	chr8:127223667-127224534
chr2:101050400-101059539:-	chr2:101040386-101050400	chr2:101059540-101090253
chr10:7276891-7285954:-	chr10:7255244-7276891	chr10:7285955-7367648
chr2:147896300-147899898:+	chr2:147845208-147896300	chr2:147899899-147915190
chr1:88770351-88786213:+	chr1:88768939-88770351	chr1:88786214-88804390
chr6:158573419-158589782:+	chr6:158572749-158573419	chr6:158589783-158605266
chr12:116096668-116111512:-	chr12:116022602-116096668	chr12:116111513-116237467
chr8:67131950-67137603:+	chr8:67121131-67131950	chr8:67137604-67154023
chr3:8935870-8948570:-	chr3:8913721-8935870	chr3:8948571-8958919
chr1:161778243-161784096:+	chr1:161766443-161778243	chr1:161784097-161791407
chr1:155853275-155853806:-	chr1:155834405-155853275	chr1:155853807-155857152
chr9:125657650-125672643:-	chr9:125585728-125657650	chr9:125672644-125706970
chr18:21765771-21819646:+	chr18:21741813-21765771	chr18:21819647-21838364
chr9:22046750-22097364:+	chr9:22046450-22046750	chr9:22097365-22112319
chr4:82871943-82875822:-	chr4:82870425-82871943	chr4:82875823-82878857
chr4:165989380-166025431:+	chr4:165874074-165989380	chr4:166025432-166039338
chr8:128009589-128010444:+	chr8:127998360-128009589	chr8:128010445-128070159
chr1:63478763-63508570:-	chr1:63462017-63478763	chr1:63508571-63523128
chr6:13579450-13584225:+	chr6:13575260-13579450	chr6:13584226-13588330
chr3:8935870-8941804:-	chr3:8913721-8935870	chr3:8941805-8947219
chr18:12999420-13073185:+	chr18:12991538-12999420	chr18:13073186-13087016
chr11:47422573-47422973:-	chr11:47420728-47422573	chr11:47422974-47424045
chr10:110964124-110985765:+	chr10:110919166-110964124	chr10:110985766-111000414
chr1:8541213-8614686:-	chr1:8540516-8541213	chr1:8614687-8624309
chr14:102040235-102040673:+	chr14:102039733-102040235	chr14:102040674-102041573
chr11:6941570-6955782:+	chr11:6932673-6941570	chr11:6955783-7000693
chr17:12054888-12095694:+	chr17:12021002-12054888	chr17:12095695-12107789
chr8:127218809-127224684:-	chr8:127209718-127218809	chr8:127224685-127227518
chr1:26257596-26259802:+	chr1:26256877-26257596	chr1:26259803-26268482
chr9:133412298-133412921:-	chr9:133411074-133412298	chr9:133412922-133414664
chr17:20245925-20260294:+	chr17:20232415-20245925	chr17:20260295-20306022
chr11:85996825-86031611:-	chr11:85990400-85996825	chr11:86031612-86069719
chr1:217610320-217614202:-	chr1:217610193-217610320	chr1:217614203-217619782
chr19:12928341-12928847:-	chr19:12925175-12928341	chr19:12928848-12930222
chr3:47661293-47678311:-	chr3:47658737-47661293	chr3:47678312-47680436
chr3:47425484-47428670:-	chr3:47424046-47425484	chr3:47428671-47442871
chr12:123498543-123499536:-	chr12:123485806-123498543	chr12:123499537-123523494
chr5:69174876-69175537:+	chr5:69174410-69174876	chr5:69175538-69177523
chr22:46433392-46439411:-	chr22:46411760-46433392	chr22:46439412-46463706
chr17:64171099-64188415:-	chr17:64160934-64171099	chr17:64188416-64193558
chr1:151638887-151639119:+	chr1:151612513-151638887	chr1:151639120-151658234
chr4:165989380-166008048:+	chr4:165874074-165989380	chr4:166008049-166014435
chr4:74174505-74225394:+	chr4:74158282-74174505	chr4:74225395-74281424
chr18:47865058-47896809:-	chr18:47851328-47865058	chr18:47896810-47930799
chr8:127890588-127890998:+	chr8:127855320-127890588	chr8:127890999-127989161
chr5:78415519-78421960:+	chr5:78388915-78415519	chr5:78421961-78449932
chr5:138006989-138019146:-	chr5:137988316-138006989	chr5:138019147-138021030
chr7:27629370-27632445:-	chr7:27543101-27629370	chr7:27632446-27649472
chr12:70278131-70311017:+	chr12:70243481-70278131	chr12:70311018-70335437
chr9:77337254-77371149:+	chr9:77337167-77337254	chr9:77371150-77381975
chr17:20253504-20260294:+	chr17:20247320-20253504	chr17:20260295-20306022
chr2:206279539-206297373:+	chr2:206275992-206279539	chr2:206297374-206304716
chr11:121045673-121060085:+	chr11:121036613-121045673	chr11:121060086-121086777
chr15:49225204-49239367:+	chr15:49217314-49225204	chr15:49239368-49292326
chr4:7868621-7872080:-	chr4:7855575-7868621	chr4:7872081-7939655
chr7:27629370-27649633:-	chr7:27543101-27629370	chr7:27649634-27662697
chr1:64777622-64789514:+	chr1:64768723-64777622	chr1:64789515-64802975
chr1:165890203-165891322:+	chr1:165885380-165890203	chr1:165891323-165903181
chr19:47362475-47362693:+	chr19:47360071-47362475	chr19:47362694-47366980
chr10:103622469-103661114:-	chr10:103618618-103622469	chr10:103661115-103693027
chr10:67954594-68014186:-	chr10:67946900-67954594	chr10:68014187-68032777
chr21:29326058-29329693:+	chr21:29321515-29326058	chr21:29329694-29597569
chr2:43963587-43975217:-	chr2:43960635-43963587	chr2:43975218-43976142
chr2:121605700-121606180:-	chr2:121530326-121605700	chr2:121606181-121649371
chr21:45128401-45134832:+	chr21:45120960-45128401	chr21:45134833-45171609
chr21:15833347-15842540:+	chr21:15831630-15833347	chr21:15842541-15864267
chr6:135039572-135042126:-	chr6:135002843-135039572	chr6:135042127-135050581
chr19:29971192-30012531:+	chr19:29942665-29971192	chr19:30012532-30018845
chr5:179709872-179720560:+	chr5:179709060-179709872	chr5:179720561-179722803
chr5:134741062-134744052:+	chr5:134738793-134741062	chr5:134744053-134750758
chr21:37420298-37472880:+	chr21:37415566-37420298	chr21:37472881-37478207
chr3:172247532-172251541:+	chr3:172226948-172247532	chr3:172251542-172295362
chr13:91693186-91756420:+	chr13:91448923-91693186	chr13:91756421-91907936
chr22:47686199-47687206:+	chr22:47635354-47686199	chr22:47687207-47947565
chr8:140572811-140585311:-	chr8:140572604-140572811	chr8:140585312-140635484
chr1:40189054-40202614:+	chr1:40161637-40189054	chr1:40202615-40235791
chr6:13639562-13644729:-	chr6:13637956-13639562	chr6:13644730-13652658
chr4:51863436-51886638:+	chr4:51860664-51863436	chr4:51886639-51891759
chr1:77711746-77715868:-	chr1:77701644-77711746	chr1:77715869-77717866
chr15:30716219-30750556:+	chr15:30647715-30716219	chr15:30750557-30767857
chr7:100023418-100024307:+	chr7:100019350-100023418	chr7:100024308-100029860
chr10:84371013-84373815:+	chr10:84328809-84371013	chr10:84373816-84417770
chr16:56385918-56389375:-	chr16:56369328-56385918	chr16:56389376-56401732
chr7:92294888-92327900:+	chr7:92246520-92294888	chr7:92327901-92343023
chr1:100913662-100921841:+	chr1:100912247-100913662	chr1:100921842-100961827
chr15:25405460-25415842:-	chr15:25375764-25405460	chr15:25415843-25438488
chr8:144190783-144200541:+	chr8:144180524-144190783	chr8:144200542-144238755
chr7:6412810-6416921:-	chr7:6410381-6412810	chr7:6416922-6421726
chr2:36441257-36442735:+	chr2:36396788-36441257	chr2:36442736-36464533
chr5:38510463-38530666:-	chr5:38506633-38510463	chr5:38530667-38595260
chr1:58506059-58536741:-	chr1:58481175-58506059	chr1:58536742-58539035
chr3:121449314-121487509:-	chr3:121440117-121449314	chr3:121487510-121490190
chr4:87195323-87195690:-	chr4:87185800-87195323	chr4:87195691-87220417
chrX:131709497-131794466:-	chrX:131703519-131709497	chrX:131794467-131825221
chr11:34957383-34992379:+	chr11:34947607-34957383	chr11:34992380-35020207
chr6:116645713-116660846:-	chr6:116635880-116645713	chr6:116660847-116668565
chr12:122777490-122781330:+	chr12:122771813-122777490	chr12:122781331-122785718
chr12:12519861-12521463:-	chr12:12500683-12519861	chr12:12521464-12562116
chr9:111386376-111391824:-	chr9:111385443-111386376	chr9:111391825-111397029
chr16:87975047-87984259:+	chr16:87950928-87975047	chr16:87984260-88018427
chr7:24623662-24668660:+	chr7:24620221-24623662	chr7:24668661-24679130
chr10:1072115-1080476:+	chr10:1056565-1072115	chr10:1080477-1084402
chr1:44308309-44339322:-	chr1:44304822-44308309	chr1:44339323-44354891
chr7:156826604-156836885:-	chr7:156796493-156826604	chr7:156836886-156892927
chr21:41226265-41257326:+	chr21:41225696-41226265	chr21:41257327-41338377
chr7:33146241-33177591:+	chr7:33130042-33146241	chr7:33177592-33257235
chr3:172112451-172133546:+	chr3:172040625-172112451	chr3:172133547-172226870
chr18:24064139-24083081:+	chr18:24020104-24064139	chr18:24083082-24114553
chr4:1225359-1241519:-	chr4:1216206-1225359	chr4:1241520-1248915
chr20:49074784-49091022:+	chr20:49072698-49074784	chr20:49091023-49092045
chr2:71396140-71418639:+	chr2:71380566-71396140	chr2:71418640-71431326
chr1:8655972-8656441:-	chr1:8624381-8655972	chr1:8656442-8703054
chr3:27411641-27452498:-	chr3:27409531-27411641	chr3:27452499-27484078
chr2:135675331-135680324:+	chr2:135661394-135675331	chr2:135680325-135709432
chr20:35858301-35871829:+	chr20:35847435-35858301	chr20:35871830-35913248
chr4:87046165-87047594:+	chr4:87007425-87046165	chr4:87047595-87084122
chr6:158312050-158314268:+	chr6:158310484-158312050	chr6:158314269-158413064
chr9:71862550-71875083:-	chr9:71750386-71862550	chr9:71875084-71910633
chr8:60741258-60743097:+	chr8:60679083-60741258	chr8:60743098-60780999
chr8:127116876-127174364:-	chr8:127116500-127116876	chr8:127174365-127227398
chr16:47497398-47515601:+	chr16:47463994-47497398	chr16:47515602-47547432
chr5:38527154-38530666:-	chr5:38523583-38527154	chr5:38530667-38595260
chr5:95755395-95763620:+	chr5:95752351-95755395	chr5:95763621-95768045
chr11:62884456-62884525:+	chr11:62883000-62884456	chr11:62884526-62884631
chr3:27411641-27424152:-	chr3:27409531-27411641	chr3:27424153-27433915
chr2:32174062-32184338:+	chr2:32171374-32174062	chr2:32184339-32192335
chr6:18236451-18258405:-	chr6:18226243-18236451	chr6:18258406-18263842
chr13:21167987-21168399:-	chr13:21161876-21167987	chr13:21168400-21172338
chr10:74394140-74398579:+	chr10:74380992-74394140	chr10:74398580-74589281
chr7:35010467-35018596:-	chr7:34989942-35010467	chr7:35018597-35037096
chr11:85996825-86003451:-	chr11:85990400-85996825	chr11:86003452-86007541
chr12:31495809-31499671:-	chr12:31480256-31495809	chr12:31499672-31590705
chr1:212044659-212047417:+	chr1:212043119-212044659	chr1:212047418-212062883
chr5:43122038-43161931:+	chr5:43121829-43122038	chr5:43161932-43173317
chr16:18797924-18798834:-	chr16:18795582-18797924	chr16:18798835-18801430
chr4:105446382-105456745:-	chr4:105438037-105446382	chr4:105456746-105473893
chr8:127218809-127223644:-	chr8:127209718-127218809	chr8:127223645-127224534
chr12:28305648-28307749:+	chr12:28304712-28305648	chr12:28307750-28362437
chr22:28296197-28297852:-	chr22:28163600-28296197	chr22:28297853-28306495
chr12:26055235-26067713:+	chr12:25995131-26055235	chr12:26067714-26068696
chr5:122019259-122022407:+	chr5:121994671-122019259	chr5:122022408-122026941
chr13:60093627-60112186:-	chr13:60042821-60093627	chr13:60112187-60163586
chr15:98707561-98708107:+	chr15:98649676-98707561	chr15:98708108-98891324
chr12:28255580-28259442:+	chr12:28226200-28255580	chr12:28259443-28305648
chr20:35653527-35659014:-	chr20:35632924-35653527	chr20:35659015-35664759
chr2:25799384-25806337:-	chr2:25771541-25799384	chr2:25806338-25835537
chr7:73686635-73687095:+	chr7:73684001-73686635	chr7:73687096-73690915
chr3:56660730-56673725:-	chr3:56649058-56660730	chr3:56673726-56682675
chr5:24535111-24537674:-	chr5:24511515-24535111	chr5:24537675-24593259
chr17:31155982-31169997:+	chr17:31095370-31155982	chr17:31169998-31181421
chr10:12081471-12120267:+	chr10:12069188-12081471	chr10:12120268-12125150
chr6:72295936-72333835:+	chr6:72292047-72295936	chr6:72333836-72390597
chr5:72861807-72865729:+	chr5:72855924-72861807	chr5:72865730-72872638
chr13:95970111-95996135:-	chr13:95949455-95970111	chr13:95996136-95999210
chr6:4891712-4892379:+	chr6:4776808-4891712	chr6:4892380-4935514
chr5:14270824-14336727:+	chr5:14242945-14270824	chr5:14336728-14358177
chr13:113495501-113520733:+	chr13:113491274-113495501	chr13:113520734-113547299
chr4:165989380-166003569:+	chr4:165874074-165989380	chr4:166003570-166014435
chr14:39276933-39279537:+	chr14:39267523-39276933	chr14:39279538-39293270
chr3:158122102-158123991:+	chr3:158110605-158122102	chr3:158123992-158203071
chr15:92996956-92998621:+	chr15:92992999-92996956	chr15:92998622-93000511
chr14:96833466-96860735:+	chr14:96832611-96833466	chr14:96860736-96876032
chr5:123545416-123557564:+	chr5:123532654-123545416	chr5:123557565-123573392
chr2:43918024-43925961:-	chr2:43912559-43918024	chr2:43925962-43934189
chr1:8541213-8557523:-	chr1:8540516-8541213	chr1:8557524-8624309
chr14:71026116-71036157:+	chr14:71023233-71026116	chr14:71036158-71045132
chr7:111487237-111521449:-	chr7:111475517-111487237	chr7:111521450-111561850
chr13:95757643-95763953:+	chr13:95725253-95757643	chr13:95763954-95785938
chr11:34071725-34076642:+	chr11:34052637-34071725	chr11:34076643-34079627
chr14:75109684-75110371:-	chr14:75107488-75109684	chr14:75110372-75113338
chr10:7797046-7802854:+	chr10:7796156-7797046	chr10:7802855-7807658
chr5:109713519-109729513:+	chr5:109698515-109713519	chr5:109729514-109755328
chr1:247156405-247159813:-	chr1:247155858-247156405	chr1:247159814-247171847
chr13:95161188-95188542:-	chr13:95157323-95161188	chr13:95188543-95194835
chr12:122377388-122380558:-	chr12:122364108-122377388	chr12:122380559-122423514
chr7:80789305-80810701:-	chr7:80765244-80789305	chr7:80810702-80818298
chr1:179063926-179064496:+	chr1:179054639-179063926	chr1:179064497-179066799
chr1:180824752-180825344:+	chr1:180811489-180824752	chr1:180825345-180834873
chr17:68306942-68307711:+	chr17:68296536-68306942	chr17:68307712-68343603
chr3:63912587-63913225:+	chr3:63898498-63912587	chr3:63913226-63979914
chr4:128992166-129003876:-	chr4:128970469-128992166	chr4:129003877-129039040
chr14:34575755-34609742:-	chr14:34568014-34575755	chr14:34609743-34629906
chr3:33684358-33689932:-	chr3:33683601-33684358	chr3:33689933-33696854
chr4:185247293-185267155:+	chr4:185210256-185247293	chr4:185267156-185288011
chr16:8858349-8859335:-	chr16:8855327-8858349	chr16:8859336-8868965
chrX:24809897-24843677:+	chrX:24775357-24809897	chrX:24843678-24888005
chr17:1842802-1853189:+	chr17:1830127-1842802	chr17:1853190-1872433
chr8:127218809-127219144:-	chr8:127209718-127218809	chr8:127219145-127223537
chr2:28906459-28914208:+	chr2:28902125-28906459	chr2:28914209-28917892
chr1:117402185-117466427:+	chr1:117397022-117402185	chr1:117466428-117493146
chr19:8455404-8463686:+	chr19:8445112-8455404	chr19:8463687-8465323
chr7:44645326-44647759:+	chr7:44624566-44645326	chr7:44647760-44666735
chr1:1223243-1223968:-	chr1:1218928-1223243	chr1:1223969-1228467
chr2:214767481-214781509:-	chr2:214752556-214767481	chr2:214781510-214792296
chr7:155672866-155680908:+	chr7:155665254-155672866	chr7:155680909-155700772
chr8:61633682-61653660:-	chr8:61633377-61633682	chr8:61653661-61680967
chr13:41865735-41868477:-	chr13:41833532-41865735	chr13:41868478-41883386
chr1:108885274-108904254:+	chr1:108882626-108885274	chr1:108904255-108918375
chr10:32451591-32474023:+	chr10:32447168-32451591	chr10:32474024-32543299
chr17:4282797-4307123:-	chr17:4272517-4282797	chr17:4307124-4366270
chr12:116230532-116237705:-	chr12:116223677-116230532	chr12:116237706-116277059
chr10:1233693-1271069:-	chr10:1217120-1233693	chr10:1271070-1363027
chr17:7499038-7499491:+	chr17:7498211-7499038	chr17:7499492-7500638
chr11:18283794-18285459:-	chr11:18282221-18283794	chr11:18285460-18286590
chr1:234450427-234472811:-	chr1:234448580-234450427	chr1:234472812-234478172
chr5:143399655-143400852:-	chr5:143314169-143399655	chr5:143400853-143404375
chr16:3850296-3851009:-	chr16:3810780-3850296	chr16:3851010-3879831
chr2:63433744-63439871:-	chr2:63404658-63433744	chr2:63439872-63484603
chr21:15762890-15766141:+	chr21:15730689-15762890	chr21:15766142-15791501
chr3:67495797-67508903:-	chr3:67400852-67495797	chr3:67508904-67518246
chr5:31421271-31424471:-	chr5:31410888-31421271	chr5:31424472-31429474
chr7:24623665-24668660:+	chr7:24620221-24623665	chr7:24668661-24679130
chr11:73707419-73718890:-	chr11:73679928-73707419	chr11:73718891-73720845
chr9:92256679-92269983:-	chr9:92253454-92256679	chr9:92269984-92270984
chr18:196636-199316:+	chr18:192901-196636	chr18:199317-202879
chr4:112562370-112585725:-	chr4:112560996-112562370	chr4:112585726-112586444
chr8:116655855-116658980:-	chr8:116648927-116655855	chr8:116658981-116755665
chr18:12999420-13030608:+	chr18:12991538-12999420	chr18:13030609-13048858
chr15:41696074-41699159:+	chr15:41669959-41696074	chr15:41699160-41707727
chr8:61680967-61684188:-	chr8:61661927-61680967	chr8:61684189-61714268
chr18:24064139-24069271:+	chr18:24020104-24064139	chr18:24069272-24080584
chr16:88027482-88038011:+	chr16:88018668-88027482	chr16:88038012-88072068
chr10:11997671-12014184:-	chr10:11979166-11997671	chr10:12014185-12028744
chr20:47276313-47287284:-	chr20:47262429-47276313	chr20:47287285-47298728
chr5:39002534-39021136:-	chr5:38996883-39002534	chr5:39021137-39074110
chr6:116698703-116705160:+	chr6:116692393-116698703	chr6:116705161-116716218
chr21:29321220-29329693:+	chr21:29305323-29321220	chr21:29329694-29597569
chr2:63856305-63857936:+	chr2:63842600-63856305	chr2:63857937-63882465
chr7:23611170-23611553:+	chr7:23598052-23611170	chr7:23611554-23642930
chr10:72708282-72715902:+	chr10:72692302-72708282	chr10:72715903-72834358
chr9:124908376-124912026:-	chr9:124900548-124908376	chr9:124912027-124921128
chr9:86305191-86310017:-	chr9:86304948-86305191	chr9:86310018-86310705
chr8:127140743-127174364:-	chr8:127140450-127140743	chr8:127174365-127227398
chr12:116236820-116237705:-	chr12:116232157-116236820	chr12:116237706-116277059
chr2:43912431-43925961:-	chr2:43905781-43912431	chr2:43925962-43934189
chr2:58084088-58089723:+	chr2:58048968-58084088	chr2:58089724-58123100
chr11:2951258-2979237:-	chr11:2949265-2951258	chr11:2979238-2992253
chr3:56592969-56594028:+	chr3:56571303-56592969	chr3:56594029-56613588
chr5:138810037-138827718:+	chr5:138783373-138810037	chr5:138827719-138886211
chr5:6737509-6746427:+	chr5:6714700-6737509	chr5:6746428-6748463
chr10:68468122-68470163:-	chr10:68465813-68468122	chr10:68470164-68487143
chr7:152783186-152801731:+	chr7:152760053-152783186	chr7:152801732-152814549
chr12:22643762-22673660:+	chr12:22625587-22643762	chr12:22673661-22684482
chr20:59034971-59038634:-	chr20:59030430-59034971	chr20:59038635-59043602
chr2:127763061-127771004:-	chr2:127745181-127763061	chr2:127771005-127811011
chr20:34470047-34492597:+	chr20:34462222-34470047	chr20:34492598-34504330
chr1:201852103-201858994:+	chr1:201848595-201852103	chr1:201858995-201863447
chr11:36227084-36227430:+	chr11:36098462-36227084	chr11:36227431-36229159
chr3:37273535-37302332:+	chr3:37251485-37273535	chr3:37302333-37315419
chr3:149846010-149872154:+	chr3:149814027-149846010	chr3:149872155-149895472
chr7:103321931-103322794:-	chr7:103319845-103321931	chr7:103322795-103323597
chr2:58048826-58089723:+	chr2:58047129-58048826	chr2:58089724-58123100
chr2:189791789-189805754:+	chr2:189785472-189791789	chr2:189805755-189818016
chr17:46170854-46172232:-	chr17:46094702-46170854	chr17:46172233-46223670
chr1:41113282-41143112:-	chr1:41075452-41113282	chr1:41143113-41160874
chr6:7861450-7862498:+	chr6:7845333-7861450	chr6:7862499-7879073
chr16:68121986-68126610:+	chr16:68085785-68121986	chr16:68126611-68157868
chr20:35801490-35871829:+	chr20:35800174-35801490	chr20:35871830-35913248
